contest,caption,funny_votes,unfunny_votes,votes,category,has_question_mark,ends_with_punctuation,caption_length,model
510,"If you can meditate here, you can meditate anywhere.",5,18,34,Top 5 Unfunny,False,True,52,Human
510,"I used to lie in the gutter, but then I quit drinking.",6,19,34,Top 5 Funny,False,True,54,Human
510,"I'm what they mean when they say, 'The middle class is getting stepped on.'",5,8,19,Top 5 Funny,False,False,75,Human
510,"If you can meditate here, you can meditate anywhere.",5,18,34,Top 5 Funny,False,True,52,Human
510,I'm a congressman--obstruction is my job.,18,24,69,Top 5 Unfunny,False,True,41,Human
510,Does this suit make me look flat?,8,21,45,Top 5 Unfunny,True,True,33,Human
510,"I used to lie in the gutter, but then I quit drinking.",6,19,34,Top 5 Unfunny,False,True,54,Human
510,Does this suit make me look flat?,8,21,45,Top 5 Funny,True,True,33,Human
510,I'm a congressman--obstruction is my job.,18,24,69,Top 5 Funny,False,True,41,Human
510,I've decided to take it lying down.,5,18,32,Top 5 Unfunny,False,True,35,Human
511,I wish you had found that yesterday.,7,15,31,Top 5 Unfunny,False,True,36,Human
511,And one day your son will keep you from having a heart attack.,8,15,34,Top 5 Unfunny,False,True,62,Human
511,I'm hourly.,12,18,43,Top 5 Unfunny,False,True,11,Human
511,My cardiologist sells them.,4,12,26,Top 5 Funny,False,True,27,Human
511,"Attention to detail is important, son.",5,13,27,Top 5 Funny,False,True,38,Human
511,I wish you had found that yesterday.,7,15,31,Top 5 Funny,False,True,36,Human
511,And one day your son will keep you from having a heart attack.,8,15,34,Top 5 Funny,False,True,62,Human
511,I'm hourly.,12,18,43,Top 5 Funny,False,True,11,Human
511,My cardiologist sells them.,4,12,26,Top 5 Unfunny,False,True,27,Human
511,"Attention to detail is important, son.",5,13,27,Top 5 Unfunny,False,True,38,Human
512,Broga meets on the 2nd floor.,7,7,16,Top 5 Funny,False,True,29,Human
512,"I'm a lumberjack too, and I don't care either!",0,10,10,Top 5 Unfunny,False,True,46,Human
512,"Yes I did say to make your mat your ""home"" during class but...",0,10,10,Top 5 Unfunny,False,True,62,Human
512,"We've seen a lot of newcomers inspired by the primaries ... people finding they can hold all kinds of awkward positions. But for us, size actually does matter and it's just too big.",0,10,11,Top 5 Unfunny,False,True,181,Human
512,I get it: you're angry with the donor-class Yoga establishment.,0,10,12,Top 5 Unfunny,False,True,63,Human
512,"We're pretentious, not ostentatious.",19,11,32,Top 5 Unfunny,False,True,36,Human
512,The rug can stay but those tube socks have got to go.,4,7,12,Top 5 Funny,False,True,53,Human
512,"Look, you and I both know that doesn't fly in here.",4,6,11,Top 5 Funny,False,True,51,Human
512,"Let her out, Fred.",4,6,13,Top 5 Funny,False,True,18,Human
512,"We're pretentious, not ostentatious.",19,11,32,Top 5 Funny,False,True,36,Human
513,They only allow one carry-on.,3,0,4,Top 5 Funny,False,True,29,Human
513,I want you off the case.,3,0,5,Top 5 Funny,False,True,24,Human
513,I started off where you are. And look at me now!,3,1,4,Top 5 Funny,False,True,48,Human
