contest,caption,model,has_question_mark,ends_with_punctuation,caption_length,funny_votes,unfunny_votes,votes,category,source
510,"If you can meditate here, you can meditate anywhere.",Human,False,True,52,5,18,34,Top 5 Unfunny,human
510,"I used to lie in the gutter, but then I quit drinking.",Human,False,True,54,6,19,34,Top 5 Funny,human
510,"I'm what they mean when they say, 'The middle class is getting stepped on.'",Human,False,False,75,5,8,19,Top 5 Funny,human
510,"If you can meditate here, you can meditate anywhere.",Human,False,True,52,5,18,34,Top 5 Funny,human
510,I'm a congressman--obstruction is my job.,Human,False,True,41,18,24,69,Top 5 Unfunny,human
510,Does this suit make me look flat?,Human,True,True,33,8,21,45,Top 5 Unfunny,human
510,"I used to lie in the gutter, but then I quit drinking.",Human,False,True,54,6,19,34,Top 5 Unfunny,human
510,Does this suit make me look flat?,Human,True,True,33,8,21,45,Top 5 Funny,human
510,I'm a congressman--obstruction is my job.,Human,False,True,41,18,24,69,Top 5 Funny,human
510,I've decided to take it lying down.,Human,False,True,35,5,18,32,Top 5 Unfunny,human
511,I wish you had found that yesterday.,Human,False,True,36,7,15,31,Top 5 Unfunny,human
511,And one day your son will keep you from having a heart attack.,Human,False,True,62,8,15,34,Top 5 Unfunny,human
511,I'm hourly.,Human,False,True,11,12,18,43,Top 5 Unfunny,human
511,My cardiologist sells them.,Human,False,True,27,4,12,26,Top 5 Funny,human
511,"Attention to detail is important, son.",Human,False,True,38,5,13,27,Top 5 Funny,human
511,I wish you had found that yesterday.,Human,False,True,36,7,15,31,Top 5 Funny,human
511,And one day your son will keep you from having a heart attack.,Human,False,True,62,8,15,34,Top 5 Funny,human
511,I'm hourly.,Human,False,True,11,12,18,43,Top 5 Funny,human
511,My cardiologist sells them.,Human,False,True,27,4,12,26,Top 5 Unfunny,human
511,"Attention to detail is important, son.",Human,False,True,38,5,13,27,Top 5 Unfunny,human
512,Broga meets on the 2nd floor.,Human,False,True,29,7,7,16,Top 5 Funny,human
512,"I'm a lumberjack too, and I don't care either!",Human,False,True,46,0,10,10,Top 5 Unfunny,human
512,"Yes I did say to make your mat your ""home"" during class but...",Human,False,True,62,0,10,10,Top 5 Unfunny,human
512,"We've seen a lot of newcomers inspired by the primaries ... people finding they can hold all kinds of awkward positions. But for us, size actually does matter and it's just too big.",Human,False,True,181,0,10,11,Top 5 Unfunny,human
512,I get it: you're angry with the donor-class Yoga establishment.,Human,False,True,63,0,10,12,Top 5 Unfunny,human
512,"We're pretentious, not ostentatious.",Human,False,True,36,19,11,32,Top 5 Unfunny,human
512,The rug can stay but those tube socks have got to go.,Human,False,True,53,4,7,12,Top 5 Funny,human
512,"Look, you and I both know that doesn't fly in here.",Human,False,True,51,4,6,11,Top 5 Funny,human
512,"Let her out, Fred.",Human,False,True,18,4,6,13,Top 5 Funny,human
512,"We're pretentious, not ostentatious.",Human,False,True,36,19,11,32,Top 5 Funny,human
513,They only allow one carry-on.,Human,False,True,29,3,0,4,Top 5 Funny,human
513,I want you off the case.,Human,False,True,24,3,0,5,Top 5 Funny,human
513,I started off where you are. And look at me now!,Human,False,True,48,3,1,4,Top 5 Funny,human
513,It's not as if it's really heavy. It just makes management look like we work!,Human,False,True,77,0,5,5,Top 5 Unfunny,human
513,Big case today.,Human,False,True,15,3,1,4,Top 5 Funny,human
513,This is my first triple-murder-case.,Human,False,True,36,0,5,5,Top 5 Unfunny,human
513,These tandem briefcases sure make being an accountant fun!,Human,False,True,58,0,5,5,Top 5 Unfunny,human
513,"Is it too late now to say sorry? 'Cause I'm missing more than just your body, oh.",Human,True,True,81,0,5,5,Top 5 Unfunny,human
513,This looks like it's going to be a long drawn-out case.,Human,False,True,55,3,1,4,Top 5 Funny,human
513,I thought he was a no good snake.,Human,False,True,33,0,5,5,Top 5 Unfunny,human
514,"Sheriff, I feel like we're just going through the motions here.",Human,False,True,63,36,50,172,Top 5 Funny,human
514,We're losing them! They're gaining on us! We're losing them! They're gaining on us!,Human,False,True,83,40,53,140,Top 5 Unfunny,human
514,"No, you grow up",Human,False,False,15,53,64,186,Top 5 Funny,human
514,We're losing them! They're gaining on us! We're losing them! They're gaining on us!,Human,False,True,83,40,53,140,Top 5 Funny,human
514,Head for the carousel! It's our only chance!,Human,False,True,44,36,55,132,Top 5 Funny,human
514,"I'm never going back to timeout, ya hear!?",Human,True,True,42,33,56,124,Top 5 Funny,human
514,"No, you grow up",Human,False,False,15,53,64,186,Top 5 Unfunny,human
514,"I'm never going back to timeout, ya hear!?",Human,True,True,42,33,56,124,Top 5 Unfunny,human
514,Head for the carousel! It's our only chance!,Human,False,True,44,36,55,132,Top 5 Unfunny,human
514,"Sheriff, I feel like we're just going through the motions here.",Human,False,True,63,36,50,172,Top 5 Unfunny,human
515,You're my last patient of the day.,Human,False,True,34,3,1,5,Top 5 Funny,human
515,"Well, it appears our time is up.",Human,False,True,32,3,1,6,Top 5 Funny,human
515,I see that our time is up.,Human,False,True,26,3,2,6,Top 5 Funny,human
515,I have this recurring dream of a train with wheels on only one side.,Human,False,True,68,0,6,6,Top 5 Unfunny,human
515,We need to think about a better retirement plan.,Human,False,True,48,0,6,6,Top 5 Unfunny,human
515,Remember the time we had to jump off a trestle and only suffered a broken nose.,Human,False,True,79,0,6,6,Top 5 Unfunny,human
515,I can see our time is up.,Human,False,True,25,3,1,5,Top 5 Funny,human
515,Who says NFL players have a problem with foreseeable consequences?,Human,True,True,66,0,6,6,Top 5 Unfunny,human
515,"I am growing inured to planes, trains, and automobiles.",Human,False,True,55,0,6,6,Top 5 Unfunny,human
515,I'm afraid we're out of time.,Human,False,True,29,4,0,6,Top 5 Funny,human
516,If I am lying then let God strike me dead!,Human,False,True,42,3,0,4,Top 5 Funny,human
516,"On second thought, don't buy. Sell.",Human,False,True,35,0,5,5,Top 5 Unfunny,human
516,Do you think I need to post a new Tinder photo?,Human,True,True,47,0,5,5,Top 5 Unfunny,human
516,You know that artificial sweetener will kill ya.,Human,False,True,48,3,0,4,Top 5 Funny,human
516,I'm told the coffee here is to die for.,Human,False,True,39,3,0,4,Top 5 Funny,human
516,"Joe, do you understand the gravity of the situation?",Human,True,True,52,3,0,4,Top 5 Funny,human
516,How many lumps did you say you wanted again?,Human,True,True,44,4,1,5,Top 5 Funny,human
516,What I especially like about this place is how chockablock it is with surprises.,Human,False,True,80,0,5,5,Top 5 Unfunny,human
516,"Well, we meet for coffee to discuss my career path.",Human,False,True,51,0,5,5,Top 5 Unfunny,human
516,Looks like you picked the wrong day to quit drinking coffee!,Human,False,True,60,0,5,5,Top 5 Unfunny,human
517,We will maintain that this is a case of mistaken identity.,Human,False,True,58,0,4,4,Top 5 Unfunny,human
517,You should probably consider actually letting this jury live.,Human,False,True,61,0,4,4,Top 5 Unfunny,human
517,There's a reason that this is a hoodie-free zone Tyrone.,Human,False,True,56,0,4,4,Top 5 Unfunny,human
517,They got you on intent.,Human,False,True,23,0,4,4,Top 5 Unfunny,human
517,"Don't worry. If they don't dismiss the class-action after these hearings, we're simply going to ask for some class members to appear in person.",Human,False,True,143,0,4,4,Top 5 Unfunny,human
517,"It looks grim, no doubt about it.",Human,False,True,33,3,1,4,Top 5 Funny,human
517,"Yes, I'm all for the death penalty, but this is traffic court.",Human,False,True,62,3,0,4,Top 5 Funny,human
517,We're unable to find a jury of your peers.,Human,False,True,42,3,0,4,Top 5 Funny,human
517,Good news: you may get life.,Human,False,True,28,3,0,4,Top 5 Funny,human
517,Jury of your peers? Ah... I don't think so.,Human,True,True,43,3,0,4,Top 5 Funny,human
518,It's tough to see an old actor like Hanks trying to recapture his Glory days.,Human,False,True,77,0,29,30,Top 5 Unfunny,human
518,You have nothing to lose.,Human,False,True,25,0,29,30,Top 5 Unfunny,human
518,I told you they were too big to have come from a cat.,Human,False,True,53,8,15,28,Top 5 Funny,human
518,He thinks he's Lawrence of Suburbia.,Human,False,True,36,8,17,29,Top 5 Funny,human
518,Isn't this the same guy who got shipwrecked in our wading pool?,Human,True,True,63,8,16,27,Top 5 Funny,human
518,Wait until see his impression of the Great Pyramid of Giza,Human,False,False,58,0,29,30,Top 5 Unfunny,human
518,He must have run out of modeling clay.,Human,False,True,38,0,29,30,Top 5 Unfunny,human
518,He needs to start drinking outside the box.,Human,False,True,43,8,12,27,Top 5 Funny,human
518,Let's live with Mom.,Human,False,True,20,9,13,28,Top 5 Funny,human
518,"Mr. Sandman, your hardwood floor specialist at it again",Human,False,False,55,0,30,30,Top 5 Unfunny,human
