contest,human_caption,chatgpt,claude,Who_won,Description
510,Does this suit make me look flat?,0.044498228,-0.024897462,chatgpt,ChatGPT aligned more closely with human captions
510,"I used to lie in the gutter, but then I quit drinking.",0.057323143,0.079531185,claude,Claude aligned more closely with human captions
510,I'm a congressman--obstruction is my job.,0.1334783,0.12074326,chatgpt,ChatGPT aligned more closely with human captions
510,"I'm what they mean when they say, 'The middle class is getting stepped on.'",0.3286364,0.30986023,chatgpt,ChatGPT aligned more closely with human captions
510,I've decided to take it lying down.,0.027158678,0.16234705,claude,Claude aligned more closely with human captions
510,"If you can meditate here, you can meditate anywhere.",-0.048338618,-0.004954149,claude,Claude aligned more closely with human captions
511,And one day your son will keep you from having a heart attack.,0.15715602,0.10065675,chatgpt,ChatGPT aligned more closely with human captions
511,"Attention to detail is important, son.",0.13826345,0.09633272,chatgpt,ChatGPT aligned more closely with human captions
511,I wish you had found that yesterday.,0.12251864,0.095415026,chatgpt,ChatGPT aligned more closely with human captions
511,I'm hourly.,0.095029704,0.13950172,claude,Claude aligned more closely with human captions
511,My cardiologist sells them.,-0.0107499445,-0.011965867,chatgpt,ChatGPT aligned more closely with human captions
512,Broga meets on the 2nd floor.,0.17914663,0.17028739,chatgpt,ChatGPT aligned more closely with human captions
512,I get it: you're angry with the donor-class Yoga establishment.,0.15377636,0.20374934,claude,Claude aligned more closely with human captions
512,"I'm a lumberjack too, and I don't care either!",0.09377902,0.1974845,claude,Claude aligned more closely with human captions
512,"Let her out, Fred.",0.17848177,0.14838222,chatgpt,ChatGPT aligned more closely with human captions
512,"Look, you and I both know that doesn't fly in here.",0.13704574,0.1470171,claude,Claude aligned more closely with human captions
512,The rug can stay but those tube socks have got to go.,0.20690563,0.09037498,chatgpt,ChatGPT aligned more closely with human captions
512,"We're pretentious, not ostentatious.",0.01893341,0.09687862,claude,Claude aligned more closely with human captions
512,"We've seen a lot of newcomers inspired by the primaries ... people finding they can hold all kinds of awkward positions. But for us, size actually does matter and it's just too big.",0.005693987,-0.020087548,chatgpt,ChatGPT aligned more closely with human captions
512,"Yes I did say to make your mat your ""home"" during class but...",0.34069788,0.17270705,chatgpt,ChatGPT aligned more closely with human captions
513,Big case today.,0.23376375,0.21033701,chatgpt,ChatGPT aligned more closely with human captions
513,I started off where you are. And look at me now!,0.022643898,0.12236558,claude,Claude aligned more closely with human captions
513,I thought he was a no good snake.,0.051889986,0.0729934,claude,Claude aligned more closely with human captions
513,I want you off the case.,0.21738118,0.16887297,chatgpt,ChatGPT aligned more closely with human captions
513,"Is it too late now to say sorry? 'Cause I'm missing more than just your body, oh.",0.18874934,0.017942911,chatgpt,ChatGPT aligned more closely with human captions
513,It's not as if it's really heavy. It just makes management look like we work!,0.25581074,0.03584333,chatgpt,ChatGPT aligned more closely with human captions
513,These tandem briefcases sure make being an accountant fun!,0.40324342,0.21781848,chatgpt,ChatGPT aligned more closely with human captions
513,They only allow one carry-on.,0.1870439,0.071887456,chatgpt,ChatGPT aligned more closely with human captions
513,This is my first triple-murder-case.,0.1416884,0.2001782,claude,Claude aligned more closely with human captions
513,This looks like it's going to be a long drawn-out case.,0.2869683,0.18120837,chatgpt,ChatGPT aligned more closely with human captions
514,Head for the carousel! It's our only chance!,0.07284835,0.168871,claude,Claude aligned more closely with human captions
514,"I'm never going back to timeout, ya hear!?",0.091985196,0.20918858,claude,Claude aligned more closely with human captions
514,"No, you grow up",0.013098624,-0.04261837,chatgpt,ChatGPT aligned more closely with human captions
514,"Sheriff, I feel like we're just going through the motions here.",0.16335568,0.29716495,claude,Claude aligned more closely with human captions
514,We're losing them! They're gaining on us! We're losing them! They're gaining on us!,0.051990777,0.20259379,claude,Claude aligned more closely with human captions
515,"I am growing inured to planes, trains, and automobiles.",0.13947284,0.09870225,chatgpt,ChatGPT aligned more closely with human captions
515,I can see our time is up.,0.17434615,0.17660405,claude,Claude aligned more closely with human captions
515,I have this recurring dream of a train with wheels on only one side.,0.13452516,0.15286613,claude,Claude aligned more closely with human captions
515,I see that our time is up.,0.15993977,0.15669526,chatgpt,ChatGPT aligned more closely with human captions
515,I'm afraid we're out of time.,0.17940262,0.18662104,claude,Claude aligned more closely with human captions
515,Remember the time we had to jump off a trestle and only suffered a broken nose.,0.038312115,0.084491745,claude,Claude aligned more closely with human captions
515,We need to think about a better retirement plan.,0.31074125,0.085511126,chatgpt,ChatGPT aligned more closely with human captions
515,"Well, it appears our time is up.",0.17170008,0.17853495,claude,Claude aligned more closely with human captions
515,Who says NFL players have a problem with foreseeable consequences?,0.062944636,-0.016072903,chatgpt,ChatGPT aligned more closely with human captions
515,You're my last patient of the day.,0.14430477,0.18187857,claude,Claude aligned more closely with human captions
516,Do you think I need to post a new Tinder photo?,0.07926796,-0.040013522,chatgpt,ChatGPT aligned more closely with human captions
516,How many lumps did you say you wanted again?,0.028363442,0.061254464,claude,Claude aligned more closely with human captions
516,I'm told the coffee here is to die for.,0.1258522,0.12304093,chatgpt,ChatGPT aligned more closely with human captions
516,If I am lying then let God strike me dead!,0.14787549,0.096103236,chatgpt,ChatGPT aligned more closely with human captions
516,"Joe, do you understand the gravity of the situation?",0.18939331,0.16551465,chatgpt,ChatGPT aligned more closely with human captions
516,Looks like you picked the wrong day to quit drinking coffee!,0.024935752,0.0016580503,chatgpt,ChatGPT aligned more closely with human captions
516,"On second thought, don't buy. Sell.",0.06099312,0.031178514,chatgpt,ChatGPT aligned more closely with human captions
516,"Well, we meet for coffee to discuss my career path.",0.20602572,0.24138395,claude,Claude aligned more closely with human captions
516,What I especially like about this place is how chockablock it is with surprises.,0.13352118,0.19082433,claude,Claude aligned more closely with human captions
516,You know that artificial sweetener will kill ya.,0.09917523,-0.03950428,chatgpt,ChatGPT aligned more closely with human captions
517,"Don't worry. If they don't dismiss the class-action after these hearings, we're simply going to ask for some class members to appear in person.",0.040842116,0.31779122,claude,Claude aligned more closely with human captions
517,Good news: you may get life.,0.04375987,0.15408292,claude,Claude aligned more closely with human captions
517,"It looks grim, no doubt about it.",0.24790993,0.049142957,chatgpt,ChatGPT aligned more closely with human captions
517,Jury of your peers? Ah... I don't think so.,0.055745196,0.21841086,claude,Claude aligned more closely with human captions
517,There's a reason that this is a hoodie-free zone Tyrone.,0.1266863,0.050643805,chatgpt,ChatGPT aligned more closely with human captions
517,They got you on intent.,0.053218033,0.22302993,claude,Claude aligned more closely with human captions
517,We will maintain that this is a case of mistaken identity.,0.119036354,0.22856581,claude,Claude aligned more closely with human captions
517,We're unable to find a jury of your peers.,0.07093539,0.23693362,claude,Claude aligned more closely with human captions
517,"Yes, I'm all for the death penalty, but this is traffic court.",0.13161077,0.04228709,chatgpt,ChatGPT aligned more closely with human captions
517,You should probably consider actually letting this jury live.,0.13148978,0.25603426,claude,Claude aligned more closely with human captions
518,He must have run out of modeling clay.,0.24575433,0.087323874,chatgpt,ChatGPT aligned more closely with human captions
518,He needs to start drinking outside the box.,0.2198618,0.13993515,chatgpt,ChatGPT aligned more closely with human captions
518,He thinks he's Lawrence of Suburbia.,0.12763186,0.09445493,chatgpt,ChatGPT aligned more closely with human captions
518,I told you they were too big to have come from a cat.,0.078502715,0.035850536,chatgpt,ChatGPT aligned more closely with human captions
518,Isn't this the same guy who got shipwrecked in our wading pool?,0.20398816,0.007795954,chatgpt,ChatGPT aligned more closely with human captions
518,It's tough to see an old actor like Hanks trying to recapture his Glory days.,0.06777302,0.10499032,claude,Claude aligned more closely with human captions
518,Let's live with Mom.,0.12993485,0.14305514,claude,Claude aligned more closely with human captions
518,"Mr. Sandman, your hardwood floor specialist at it again",0.314196,0.08738129,chatgpt,ChatGPT aligned more closely with human captions
518,Wait until see his impression of the Great Pyramid of Giza,0.13424337,0.0024329629,chatgpt,ChatGPT aligned more closely with human captions
518,You have nothing to lose.,0.089977235,0.077266134,chatgpt,ChatGPT aligned more closely with human captions
519,He's obviously prey. Let's eat him.,0.2482711,0.3731997,claude,Claude aligned more closely with human captions
519,"I think we're safe, it's Dick Cheney.",0.10223472,0.22009048,claude,Claude aligned more closely with human captions
519,If he hadn't lost his camel he would have made it by now,0.054503117,0.22041169,claude,Claude aligned more closely with human captions
519,"Same decoy as last year. Honestly, I don't known why he bothers.",0.04590665,0.03835635,chatgpt,ChatGPT aligned more closely with human captions
519,She always insists on riding shotgun.,0.23603266,0.29007286,claude,Claude aligned more closely with human captions
519,The bird on a gun is worth two birds on a limb!,0.16362463,0.53102326,claude,Claude aligned more closely with human captions
519,This may be his final tweet.,0.10115772,0.1870802,claude,Claude aligned more closely with human captions
519,We might be empty nesters sooner than we thought.,0.13347714,0.16743617,claude,Claude aligned more closely with human captions
519,What's up with all the kids doing 'slack gun' these days?,0.054574214,0.13644579,claude,Claude aligned more closely with human captions
519,"whistle while you work, indeed.",0.040755723,0.22115621,claude,Claude aligned more closely with human captions
520,"I have to ask, do you feel that you could be a danger to others?",0.17312694,0.05106926,chatgpt,ChatGPT aligned more closely with human captions
520,It's normal to feel empty after a split.,0.020372352,0.016051147,chatgpt,ChatGPT aligned more closely with human captions
520,"Now that you've opened up, let's talk about what's eating you.",0.06670909,0.14808552,claude,Claude aligned more closely with human captions
520,Would you feel more comfortable on the floor ?,0.07489592,0.12869345,claude,Claude aligned more closely with human captions
520,You say you've been feeling empty since the split?,0.15942699,0.14086598,chatgpt,ChatGPT aligned more closely with human captions
521,Go and check if it's still raining. I'll wait here.,0.041819826,0.5617939,claude,Claude aligned more closely with human captions
521,I doubled my contribution to PBS.,0.04569038,0.08036126,claude,Claude aligned more closely with human captions
521,I thought your mother was joining us.,0.0600121,0.067175336,claude,Claude aligned more closely with human captions
521,I'm in the Wetness Protection Program.,-0.11793227,0.31946716,claude,Claude aligned more closely with human captions
521,"Well, I thought your mother was joining us...",0.09244472,0.06821492,chatgpt,ChatGPT aligned more closely with human captions
522,"Do you still need a hand, Sir?",0.043461323,0.09893398,claude,Claude aligned more closely with human captions
522,Have you tried turning it off and back on again?,0.11161153,0.071607634,chatgpt,ChatGPT aligned more closely with human captions
522,"Yes sir, a martini for you and a screwdriver for the monster.",0.011548046,0.15474793,claude,Claude aligned more closely with human captions
522,"Yes, my license says I'm an organ donor....why do you ask?",0.08525076,0.10977737,claude,Claude aligned more closely with human captions
522,the mrs. requests you come upstairs and try creating life the old fashioned way,0.1854095,0.1593239,chatgpt,ChatGPT aligned more closely with human captions
523,Can we have one argument without you bringing up the monkeys?,0.20492172,0.051764347,chatgpt,ChatGPT aligned more closely with human captions
523,I don't mind the monkey see as much as the monkey doo.,0.18941191,0.0132903755,chatgpt,ChatGPT aligned more closely with human captions
