contest,rank,caption,mean,precision,votes,not_funny,somewhat_funny,funny,has_question_mark,ends_with_punctuation,caption_length
562,0,It could work. We both like worms.,1.81404958677686,0.0484016733336622,242,95,97,50,False,True,34
562,1,One of us should look more concerned.,1.7275862068965515,0.0454962836776701,290,137,95,58,False,True,37
562,2,Where are the statues? I can't hold it in anymore.,1.7031914893617022,0.0251474798316781,940,460,299,181,True,True,50
562,3,I identify as fish,1.697674418604651,0.0665860563667034,129,62,44,23,False,False,18
562,4,Will we raise the kids as birds or fish?,1.696969696969697,0.029489069969656,759,400,189,170,True,True,40
562,5,Let's walk into a bar.,1.6903409090909092,0.040758077176345,352,174,113,65,False,True,22
562,6,What am I doing here? I missed my flight.,1.682642487046632,0.0316237172115557,772,459,99,214,True,True,41
562,7,What do you mean I'm adopted?,1.6822660098522169,0.0386801273897357,406,208,119,79,True,True,29
562,8,"No, you don't look like your profile photo.",1.682170542635659,0.0459400424993606,258,124,92,42,False,True,43
562,9,It's not you. I've just...evolved.,1.6576576576576576,0.0430583259993737,333,179,89,65,False,True,34
562,10,I had a little work done.,1.651006711409396,0.0343737456995062,447,223,157,67,False,True,25
562,11,Disingenuous? ME ??? YOU described yourself as 'wingy ' !!!,1.6497277676951,0.0334654869861736,551,300,144,107,True,True,59
562,12,Be VERY afraid – we have bigger fish to fly.,1.6459510357815443,0.0340055235833646,531,290,139,102,False,True,44
562,13,You and me birdbrain.,1.6392785571142283,0.0379063373125085,499,301,77,121,False,True,21
562,14,"""I've had it with your Phishing scams""! ""Well, I've had it with your Tweets""!",1.637931034482759,0.0718115889426453,116,63,32,21,False,True,77
562,15,"Fish gotta swim, birds gotta swim.",1.6324786324786325,0.0375878653503974,468,272,96,100,False,True,34
562,16,"Well, one of us is right.",1.6311475409836065,0.0680707686534085,122,65,37,20,False,True,25
562,17,Let me guess...Pisces.,1.6229508196721312,0.0422663786866228,305,162,96,47,False,True,22
562,18,The inevitable face-off of Roe vs. Egg.,1.618556701030928,0.0439124565738978,388,247,42,99,False,True,39
562,19,One bad tweet and they put you on the no-fly list.,1.6166666666666667,0.0701971347118625,120,67,32,21,False,True,50
562,20,Vito warned me if I sing like a bird I'm gonna swim with da fishes.,1.607242339832869,0.041525692528595,359,209,82,68,False,True,67
562,21,Either you're a flying fish or I'm a dead duck.,1.6026058631921825,0.0444388720105386,307,178,73,56,False,True,47
562,22,"Believe me, worms don't come with hooks.",1.6,0.0673633069708607,120,66,36,18,False,True,40
562,23,"Your brother is alive, in an aquarium in Queens.",1.598360655737705,0.0644506514639901,122,65,41,16,False,True,48
562,24,Sometimes it would be nice if we could stay at my place instead.,1.596875,0.0423400635982229,320,182,85,53,False,True,64
562,25,One of these things is not like the other...,1.595307917888563,0.0423715313368958,341,201,77,63,False,True,44
562,26,"Without climate change, we never would have become friends",1.5905511811023625,0.0645660146075502,127,70,39,18,False,False,58
562,27,I told the genie that my first wish was for a perfect perch . . .,1.5853658536585369,0.057960782161482,164,93,46,25,False,True,65
562,28,"Actually, I think it's, ""Fish gotta swim, Birds gotta fly.""",1.5833333333333333,0.0632713835304414,120,64,42,14,False,False,59
562,29,I don't see species.,1.5698924731182795,0.0515923140178949,186,103,60,23,False,True,20
562,30,Ten thousand eggs at once! Wow!,1.5583756345177664,0.0515427284812671,197,114,56,27,False,True,31
562,31,Let's call Escher - he'll know how to fix this.,1.5515463917525774,0.0546889402916793,194,119,43,32,False,True,47
562,32,The pig's right behind me.,1.55,0.0832489023761601,80,48,20,12,False,True,26
562,33,I was a stool pigeon and now I sleep with the fishes.,1.5495867768595042,0.0422086957560013,242,131,89,22,False,True,53
562,34,You'll be a real catch for someone else.,1.5495867768595042,0.0464627823346136,242,142,67,33,False,True,40
562,35,I know Mom will love you. Dad may eat you.,1.5491803278688523,0.0446885064252147,244,139,76,29,False,True,42
562,36,"After Trump was elected, I was SURE I'd see a pig flying up here",1.5483870967741935,0.068088854789616,124,76,28,20,False,False,64
562,37,I believe you're out of water.,1.548148148148148,0.0601440306629025,135,77,42,16,False,True,30
562,38,"One of these things is not like the other, one of these things just doesn't belong...",1.543103448275862,0.0538780041638956,232,155,28,49,False,True,85
562,39,"Maybe I'm wrong but I think Hammerstein said ""Fish gotta fly, birds gotta swim.""",1.536036036036036,0.0505184308207291,222,138,49,35,False,False,80
562,40,You look nothing like your Match profile.,1.5265700483091786,0.0478425945997321,207,121,63,23,False,True,41
562,41,Welcome to the witness protection program.,1.5265700483091786,0.0488130934136028,207,123,59,25,False,True,42
562,42,What pronoun do you prefer?,1.5163934426229508,0.0650509232823469,122,75,31,16,True,True,27
562,43,You don't look anything like your profile picture.,1.5154639175257731,0.0507551037616983,194,118,52,24,False,True,50
562,44,I'm looking for a perch.,1.513089005235602,0.0539733657224566,191,122,40,29,False,True,24
562,45,"Well, one of us is screwed.",1.5128205128205128,0.0549359951568119,156,93,46,17,False,True,27
562,46,I think we should go back to long distance. I can't breath in this relationship.,1.5093167701863357,0.0565012590020504,161,100,40,21,False,True,80
562,47,"Seriously, ours come without hooks.",1.5081967213114753,0.0618614532951334,122,73,36,13,False,True,35
562,48,One of us is going to have to wake up.,1.5081967213114753,0.0495393131285455,183,108,57,18,False,True,38
562,49,Well we BOTH can't be right.,1.5055555555555555,0.0548669301693534,180,115,39,26,False,True,28
562,50,First time in the Cloud?,1.5054945054945057,0.0465866360551072,182,103,66,13,True,True,24
562,51,"whatever you do, don't look down.",1.5,0.0520332710700817,174,106,49,19,False,True,33
562,52,"Mom, am I adopted?",1.5,0.0545272809745151,174,110,41,23,True,True,18
562,53,No way! I like worms too!,1.5,0.0557324493144189,174,112,37,25,False,True,25
562,54,...and then they said 'youlz be swimmin with da fishes'....,1.4971098265895957,0.0594731300373612,173,118,24,31,False,True,59
562,55,Our parents will never understand.,1.4970760233918128,0.0457135974272253,171,95,67,9,False,True,34
562,56,And our offspring will be neither fish nor fowl,1.494047619047619,0.0533968895767898,168,104,45,19,False,False,47
562,57,"Are you in my dream, or am I in yours?",1.4910714285714286,0.064668663122657,112,69,31,12,True,True,38
562,58,Our parents are gonna freak out.,1.4910179640718564,0.049430975715143,167,98,56,13,False,True,32
562,59,"Dad, I've decided to come out as transspecies.",1.4910179640718564,0.0529541848640375,167,103,46,18,False,True,46
562,60,"Tell me the truth, Mom. Was I adopted?",1.4910179640718564,0.0536310596716808,167,104,44,19,True,True,38
562,61,I'm a little out of my comfort zone.,1.490909090909091,0.0467875494475807,165,93,63,9,False,True,36
562,62,Do you ever feel out of your element?,1.4876543209876545,0.0562330357286601,162,104,37,21,True,True,37
562,63,Is this where stool pigeons go to sleep with the fishes?,1.486842105263158,0.0493834786458325,152,87,56,9,True,True,56
562,64,One of us is seriously screwed.,1.4842767295597483,0.0617238663311254,159,110,21,28,False,True,31
562,65,"They kept saying the sea was rising, I just didn't believe them.",1.4842767295597483,0.0541674184354631,159,99,43,17,False,True,64
562,66,I hear you have a good school system.,1.477124183006536,0.0579765495635958,153,100,33,20,False,True,37
562,67,Of course you know our parents will never approve.,1.477124183006536,0.0473633744915682,153,87,59,7,False,True,50
562,68,You look nothing like your tinder profile.,1.477124183006536,0.0533412075910085,153,94,45,14,False,True,42
562,69,Great costume.,1.4727272727272729,0.0641998169670079,110,69,30,11,False,True,14
562,70,"Some weather we're having, eh?",1.47,0.0673525325163325,100,63,27,10,True,True,30
562,71,"""Do you ever feel like a fish out of water""?",1.4689655172413794,0.0562690345944796,145,92,38,15,True,True,44
562,72,"You're late, I got the worm!",1.4685314685314683,0.0577016339324539,143,92,35,16,False,True,28
562,73,"Birds got to swim, fish got to fly . . . .",1.4685314685314683,0.0532636205798783,143,87,45,11,False,True,42
562,74,"Don't mind me, I'm just phishing.",1.4647887323943662,0.0475784310931201,142,81,56,5,False,True,33
562,75,Humor me: Are you a fish out of water or I am in over my head?,1.4647887323943662,0.0605158557522029,142,95,28,19,True,True,62
562,76,"Well, you don't look much like your profile picture either.",1.4609375,0.0616600485194048,128,84,29,15,False,True,59
562,77,"Climate change, am I right?",1.460431654676259,0.0570959778634418,139,89,36,14,True,True,27
562,78,It could work. We both like worms.,1.460431654676259,0.058893798631887,139,91,32,16,False,True,34
562,79,"This Travel Ban is so confusing, isn't it!",1.460431654676259,0.058893798631887,139,91,32,16,False,True,42
562,80,"Okay, my dating profile may not have been completely accurate.",1.4592592592592593,0.0563913543853619,135,85,38,12,False,True,62
562,81,Really? The worms come to you?,1.4592592592592593,0.0637530501664337,135,93,22,20,True,True,30
562,82,I'm on the no fly list.,1.4592592592592593,0.0610964519999581,135,90,28,17,False,True,23
562,83,I see the cat ate you too,1.4579439252336448,0.0680747328503723,107,71,23,13,False,False,25
562,84,I've been looking for a perch!,1.4573643410852712,0.0571951727262546,129,81,37,11,False,True,30
562,85,One of us is out of our element.,1.4545454545454546,0.0648523977278565,132,92,20,20,False,True,32
562,86,Guess who's coming to dinner.,1.4545454545454546,0.0572760868340412,132,84,36,12,False,True,29
562,87,Holy Mackerel!,1.4545454545454546,0.0611816296533229,132,88,28,16,False,True,14
562,88,If you're not a fish out of water I'm in deep trouble.,1.4545454545454546,0.0611816296533229,132,88,28,16,False,True,54
562,89,Now why exactly were you kicked out of school?,1.450381679389313,0.0595675750901084,131,86,31,14,True,True,46
562,90,No school today?,1.450381679389313,0.0605453203328879,131,87,29,15,True,True,16
562,91,I told my parents!,1.449612403100775,0.0515755169851599,129,77,46,6,False,True,18
562,92,"Is it ""fish gotta fly, birds gotta swim,"" or did I hear that wrong?",1.4453125,0.0481045676407505,128,74,51,3,True,True,67
562,93,Fish gotta fly and birds gotta swim and that's not fake news either.,1.4435483870967742,0.0503103655479479,124,73,47,4,False,True,68
562,94,"There's a catfish and a dogfish, so why not?",1.4435483870967742,0.0564516129032258,124,78,37,9,True,True,44
562,95,Birds gotta swim; fish gotta fly.,1.43801652892562,0.0496441357877137,121,71,47,3,False,True,33
562,96,"Tonight, you sleep with the pigeons.",1.4369747899159664,0.0555156781731859,119,74,38,7,False,True,36
562,97,I need to see the loan shark. My nest is under water.,1.4369747899159664,0.0604293797437782,119,78,30,11,False,True,53
562,98,One of us is outside our comfort zone.,1.434782608695652,0.0679090969120005,92,60,24,8,False,True,38
562,99,This is what happens when you eliminate the EPA.,1.4328358208955223,0.0882614650002301,67,47,11,9,False,True,48
562,100,"Separated since birth, they had never before met face to face.",1.4310344827586208,0.0614957707874517,116,77,28,11,False,True,62
562,101,You must be from the other side of the family.,1.4310344827586208,0.0627029095196072,116,78,26,12,False,True,46
562,102,Are you here for the Fish & Wildlife Convention?,1.4310344827586208,0.0602644570809489,116,76,30,10,True,True,48
562,103,No. It said fish FRY today only.,1.4310344827586208,0.0638872436383455,116,79,24,13,False,True,32
562,104,I deliver important messages. What do you do?,1.4310344827586208,0.0602644570809489,116,76,30,10,True,True,45
562,105,"Well, I've always sung it, ""Birds gotta swim and fish gotta fly"".",1.424778761061947,0.0515335457965911,113,68,42,3,False,True,65
562,106,You don't look like your profile picture either.,1.424778761061947,0.0626093351308725,113,76,26,11,False,True,48
562,107,I self-identify as a fish.,1.424778761061947,0.0587013237231044,113,73,32,8,False,True,26
562,108,It’ll never work -- you’re farm-raised and I’m from the city.,1.424778761061947,0.066287346335595,113,79,20,14,False,True,61
562,109,You don't look like your profile picture either.,1.424778761061947,0.0600322681542166,113,74,30,9,False,True,48
562,110,"Actually, I'm looking for a perch.",1.423423423423423,0.0659455879118291,111,77,21,13,False,True,34
562,111,"Sorry son, but I need to finally tell you - you were adopted.",1.423423423423423,0.0621081321055165,111,74,27,10,False,True,61
562,112,"No, I’m pretty sure it’s “Fish gotta swim, BIRDS gotta fly.”",1.423423423423423,0.0659455879118291,111,77,21,13,False,False,60
562,113,That's not the picture you posted on match.com!,1.423423423423423,0.0520655253218014,111,67,41,3,False,True,47
562,114,"This proves it. GPSs are 100% wrong, 50% of the time.",1.423423423423423,0.0607751586574327,111,73,29,9,False,True,53
562,115,"Actually, I can use whichever biosphere I identify with.",1.422680412371134,0.066894560354195,97,65,23,9,False,True,56
562,116,Just keep flapping.,1.422680412371134,0.0652694842378782,97,64,25,8,False,True,19
562,117,"I’m a triathlete. I fly, swim and poop on as many car windshields as possible.",1.4193548387096775,0.0705991533236364,93,64,19,10,False,True,78
562,118,Thanks for meeting me half-way.,1.4181818181818182,0.0597210895531682,110,72,30,8,False,True,31
562,119,You can't get there from here.,1.4181818181818182,0.0611016710803425,110,73,28,9,False,True,30
562,120,"No, there would be wavy lines if this were water.",1.4177215189873418,0.0777140017107494,79,55,15,9,False,True,49
562,121,"Just give it a couple hundred million years, you'll get there.",1.4166666666666667,0.0544410535744451,108,67,37,4,False,True,62
562,122,I thought the F stood for female.,1.4166666666666667,0.0659423266690013,108,75,21,12,False,True,33
562,123,"Screw the scientists, they told the bumblebees the same thing.",1.4166666666666667,0.0632633378305703,108,73,25,10,False,True,62
562,124,Now try flapping them up and down.,1.4150943396226414,0.0612360324258519,106,70,28,8,False,True,34
562,125,One of us is having a really bad day.,1.4150943396226414,0.0641033595523223,106,72,24,10,False,True,37
562,126,One of us is about to die.,1.4150943396226414,0.0641033595523223,106,72,24,10,False,True,26
562,127,I didn't think the oceans could rise any higher.,1.4150943396226414,0.0626860924494194,106,71,26,9,False,True,48
562,128,Your profile said odd bird seeks companion.,1.4150943396226414,0.0641033595523223,106,72,24,10,False,True,43
562,129,You never reply to my tweets.,1.4150943396226414,0.0668478103196255,106,74,20,12,False,True,29
562,130,"""Either you're a flying fish or I'm a dead pigeon "".",1.4150943396226414,0.069483946226182,106,76,16,14,False,True,52
562,131,"Be smart, stay in school.",1.4150943396226414,0.0641033595523223,106,72,24,10,False,True,25
562,132,"Is this my dream, or yours?",1.4150943396226414,0.0668478103196255,106,74,20,12,True,True,27
562,133,Turns out: stool pigeons swim with the fishes.,1.4150943396226414,0.058227679230978,106,68,32,6,False,True,46
562,134,"Yeah, but it's just a theory.",1.4150943396226414,0.0668478103196255,106,74,20,12,False,True,29
562,135,Perch?,1.4107142857142858,0.0796778648818703,56,36,17,3,True,True,6
562,136,"If a bird's gotta swim, then fish gotta fly",1.4077669902912622,0.0592434265642073,103,67,30,6,False,False,43
562,137,Think what our children will have to go through.,1.4077669902912622,0.0505761460134203,103,62,40,1,False,True,48
562,138,This will not end well for one of us.,1.405940594059406,0.0647588333693775,101,69,23,9,False,True,37
562,139,What time is your flight,1.405940594059406,0.0647588333693775,101,69,23,9,False,False,24
562,140,You look nothing like your profile picture.,1.405940594059406,0.0647588333693775,101,69,23,9,False,True,43
562,141,"Yes, I do have confidence in my GPS - Why do you ask?",1.405940594059406,0.0632114443545044,101,68,25,8,True,True,53
562,142,Yes I'm sure it's fine - all the guy said was 'two by two',1.405940594059406,0.0647588333693775,101,69,23,9,False,False,58
562,143,"It's not you, it's me.",1.405940594059406,0.0662701011116099,101,70,21,10,False,True,22
562,144,You're a strange bird.,1.4057971014492754,0.0753475623299556,69,46,18,5,False,True,22
562,145,We'd never have met had it not been for climate change,1.3979591836734695,0.0691686619138046,98,70,17,11,False,False,54
562,146,You looked different in your profile picture.,1.3979591836734695,0.0644447320094652,98,67,23,8,False,True,45
562,147,This just isn't working anymore. You refuse to evolve.,1.3979591836734695,0.0593459617547595,98,64,29,5,False,True,54
562,148,It isn't you. It's me.,1.3979591836734695,0.0660569218136646,98,68,21,9,False,True,22
562,149,"Am I drowning, or are you flying?",1.3979591836734695,0.0660569218136646,98,68,21,9,True,True,33
562,150,Tornadoes suck,1.3979591836734695,0.0691686619138046,98,70,17,11,False,False,14
562,151,"Ok, compromise: H2O2.",1.3979591836734695,0.0593459617547595,98,64,29,5,False,True,21
562,152,"I don't know either, global warming?",1.3979591836734695,0.0660569218136646,98,68,21,9,True,True,36
562,153,I just don't understand you anymore. Its like we're not even of the same species.,1.3979591836734695,0.0691686619138046,98,70,17,11,False,True,81
562,154,Out for some air?,1.3958333333333333,0.0686319427617451,96,68,18,10,True,True,17
562,155,My dream or yours?,1.3958333333333333,0.0601153253270851,96,63,28,5,True,True,18
562,156,"If fish can fly, and birds can swim, anybody can be President.",1.3958333333333333,0.0686319427617451,96,68,18,10,False,True,62
562,157,"No shit? I love worms, too",1.3958333333333333,0.0686319427617451,96,68,18,10,True,False,26
562,158,"Without science, anything is possible!",1.3958333333333333,0.0636588472280904,96,65,24,7,False,True,38
562,159,"I don't really like labels, but I consider myself bi-evolutional.",1.3958333333333333,0.0670152618560684,96,67,20,9,False,True,65
562,160,We expect immigrants to assimilate.,1.3958333333333333,0.0670152618560684,96,67,20,9,False,True,35
562,161,But how will we raise the kids?,1.3958333333333333,0.0582628019714745,96,62,30,4,True,True,31
562,162,But where would we raise the kids?,1.3958333333333333,0.0543687189690835,96,60,34,2,True,True,34
562,163,I hate this mirror.,1.3958333333333333,0.0636588472280904,96,65,24,7,False,True,19
562,164,Aren't you supposed to be in school?,1.3958333333333333,0.0636588472280904,96,65,24,7,True,True,36
562,165,Out of school?,1.3958333333333333,0.0670152618560684,96,67,20,9,True,True,14
562,166,"Sure this is impossible, but two years ago I would have said the same thing about Trump being president!",1.3958333333333333,0.0702114079966033,96,69,16,11,False,True,104
562,167,...and that's the story of global warming.,1.3958333333333333,0.0653586036878343,96,66,22,8,False,True,42
562,168,You are clearly out of your depth,1.3958333333333333,0.0686319427617451,96,68,18,10,False,False,33
562,169,I just feel that I am out of my element.,1.3958333333333333,0.0653586036878343,96,66,22,8,False,True,40
562,170,"Oops, wrong cartoon...",1.3953488372093024,0.070718551169154,86,60,18,8,False,True,22
562,171,Of course you're not adopted dear - why do you ask?,1.3875,0.0653465687747483,80,53,23,4,True,True,51
562,172,Aren't you supposed to be in school?,1.3870967741935485,0.0612176927504132,93,62,26,5,True,True,36
562,173,When Heron met Salmon,1.3870967741935485,0.0733749585387283,93,69,12,12,False,False,21
562,174,It's great. No cats.,1.3870967741935485,0.0572721374168174,93,60,30,3,False,True,20
562,175,"Well, one of us is in for a big surprise.",1.3870967741935485,0.0649239099798923,93,64,22,7,False,True,41
562,176,It's called a tornado!,1.3870967741935485,0.0701168764219209,93,67,16,10,False,True,22
562,177,I'm sorry but you must use the bathroom corresponding to the class of your birth no matter what you have become.,1.3870967741935485,0.0649239099798923,93,64,22,7,False,True,112
562,178,"So, then...you're not my real father?",1.3846153846153846,0.0558412864473538,91,58,31,2,True,True,37
562,179,Did you just see a pig go by?,1.3846153846153846,0.0677011871188156,91,64,19,8,True,True,29
562,180,Can we just agree to disagree on everything but worms?,1.3846153846153846,0.0677011871188156,91,64,19,8,True,True,54
562,181,Wow. You missed about 350 million years of evolution.,1.3846153846153846,0.0558412864473538,91,58,31,2,False,True,53
562,182,"A fish out of water? Wow, you're a real idiom!",1.3846153846153846,0.0712169307517347,91,66,15,10,True,True,46
