contest,caption,mean,precision,votes,not_funny,somewhat_funny,funny,has_question_mark,ends_with_punctuation,caption_length
736,"You can advocate for wind power all you want, Randy, but you’re not going to escape your fossil fuel destiny.",2.0448430493273544,0.0101875252586321,5798,1620,2298,1880,False,True,109
736,"‘You know, sometimes I look at you Dave and think our species is doomed.’",2.0269121813031163,0.010975385244166,4942,1406,1997,1539,False,False,73
736,No one will ever wear that.  Not in 100 million years.,2.019339326782354,0.0081203394447338,9566,2926,3529,3111,False,True,54
736,How did you get it on?,2.0151484951166037,0.0115116414431087,5017,1630,1681,1706,True,True,22
736,We send you 65 million years into the future and that's all you bring back?,2.0063784549964563,0.0208747896177814,1411,429,544,438,True,True,75
736,"If that’s a courtship display, I think I know how we go extinct.",1.966234840132304,0.0092525897386006,7256,2380,2741,2135,False,True,64
736,I don't know what you want me to do about it. I can't reach it either.,1.9438202247191012,0.0175916943228297,1958,651,766,541,False,True,70
736,Your meal came with a toy?,1.9365426695842451,0.008591126933653,8683,3075,3084,2524,True,True,26
736,You’re right. No one will notice the arms anymore.,1.924629324546952,0.0155080588540995,2428,807,997,624,False,True,50
736,"I'm sorry, Herbert. I can't keep waiting for you to evolve.",1.8859757605738312,0.0121399647008746,4043,1461,1582,1000,False,True,59
736,They put me at the children's table; so I ate one.,1.885828743114672,0.0129485749112147,3994,1591,1268,1135,False,True,50
736,"You're 65 million years old, Todd.",1.8762455801992928,0.0143536408609241,3111,1213,1070,828,False,True,34
736,It would be a cruel irony if we go extinct but those hats endure.,1.8746245059288535,0.0100866848518845,6325,2481,2156,1688,False,True,65
736,"Well, it's an improvement over your MAGA hat.",1.8740912095175148,0.0107881410548453,6052,2560,1694,1798,False,True,45
736,What do you mean you don’t know what happened to the kid ?,1.8617741360883504,0.0148219124492167,2807,1086,1023,698,True,True,58
736,It just doesn't say 'apex predator' to me.,1.8446412754650132,0.0106368276800123,5645,2309,1904,1432,False,True,42
736,"I decided to stop taking life so seriously. We rule the planet, what's the worst that could happen?",1.84251968503937,0.0174703094800406,2032,815,722,495,True,True,99
736,I’m just glad you’ve stopped wearing crocs.,1.8264218009478672,0.0192034901251395,1688,697,587,404,False,True,43
736,That's gonna keep some archeologist up for nights in about 3 trillion years from now.,1.8236826867400115,0.0132111784148154,3454,1399,1265,790,False,True,85
736,"My opinion? Your hat says, ""I have chosen not to mate. Like ever.""",1.816039685820587,0.0160733326219818,2419,1019,826,574,True,False,66
736,That must be from our preposterous period.,1.812845103167684,0.0138221013647862,3441,1513,1059,869,False,True,42
736,Brains the size of a walnut don't need cooling fans.,1.8082799408575656,0.0174461721603935,2029,858,702,469,False,True,52
736,I’m a Velocicopter.,1.795049934867564,0.0118740012381588,4606,2064,1422,1120,False,True,19
736,"Maybe a little younger, but you still look prehistoric.",1.7731888964116451,0.0190965595274401,1477,603,606,268,False,True,55
