contest,ai_model,ai_caption,human_caption,semantic_similarity
807,chatgpt (gpt-4o),"""Turns out, our maze is so hard, even the cheese applied for early retirement.""",It's a female.  She's asking for directions.,0.1259708
807,chatgpt (gpt-4o),"""Turns out, our maze is so hard, even the cheese applied for early retirement.""",Our grant was awarded by a hedge fund.,0.10671065
807,chatgpt (gpt-4o),"""Turns out, our maze is so hard, even the cheese applied for early retirement.""",We’ve decided the most intelligent ones never enter the maze at all.,0.31013525
807,chatgpt (gpt-4o),"""Turns out, our maze is so hard, even the cheese applied for early retirement.""",It's a female.  She's asking for directions.,0.1259708
807,chatgpt (gpt-4o),"""Turns out, our maze is so hard, even the cheese applied for early retirement.""","Forget the experiment for a minute, where the hell has your mouth gone?",0.14084497
807,chatgpt (gpt-4o),"""Turns out, our maze is so hard, even the cheese applied for early retirement.""",Our grant was awarded by a hedge fund.,0.10671065
807,chatgpt (gpt-4o),"""Turns out, our maze is so hard, even the cheese applied for early retirement.""","He should do well, he is a field mouse.",0.107871585
807,chatgpt (gpt-4o),"""Turns out, our maze is so hard, even the cheese applied for early retirement.""",He’s still dizzy from the crop circles.,0.13829204
807,chatgpt (gpt-4o),"""Turns out, our maze is so hard, even the cheese applied for early retirement.""",We use the males as a control group - they never ask for directions.,0.05920388
807,chatgpt (gpt-4o),"""Turns out, our maze is so hard, even the cheese applied for early retirement.""","Forget the experiment for a minute, where the hell has your mouth gone?",0.14084497
807,claude,"""According to my calculations, the odds of solving world hunger are approximately 3,720 to 1.""",It's a female.  She's asking for directions.,0.11746634
807,claude,"""According to my calculations, the odds of solving world hunger are approximately 3,720 to 1.""",Our grant was awarded by a hedge fund.,0.056837983
807,claude,"""According to my calculations, the odds of solving world hunger are approximately 3,720 to 1.""",We’ve decided the most intelligent ones never enter the maze at all.,0.23157701
807,claude,"""According to my calculations, the odds of solving world hunger are approximately 3,720 to 1.""",It's a female.  She's asking for directions.,0.11746634
807,claude,"""According to my calculations, the odds of solving world hunger are approximately 3,720 to 1.""","Forget the experiment for a minute, where the hell has your mouth gone?",0.20681804
807,claude,"""According to my calculations, the odds of solving world hunger are approximately 3,720 to 1.""",Our grant was awarded by a hedge fund.,0.056837983
807,claude,"""According to my calculations, the odds of solving world hunger are approximately 3,720 to 1.""","He should do well, he is a field mouse.",0.042391464
807,claude,"""According to my calculations, the odds of solving world hunger are approximately 3,720 to 1.""",He’s still dizzy from the crop circles.,0.07277003
807,claude,"""According to my calculations, the odds of solving world hunger are approximately 3,720 to 1.""",We use the males as a control group - they never ask for directions.,0.06340988
807,claude,"""According to my calculations, the odds of solving world hunger are approximately 3,720 to 1.""","Forget the experiment for a minute, where the hell has your mouth gone?",0.20681804
