contest,ai_model,ai_caption,human_caption,semantic_similarity,category_human,theme,svg_path
510,ChatGPT (gpt-4o),Just another day in the Parallel Parking World Championships.,I'm a congressman--obstruction is my job.,0.0863752,Top 5 Funny,sports,similarity_values/510.svg
510,ChatGPT (gpt-4o),Just another day in the Parallel Parking World Championships.,I'm a congressman--obstruction is my job.,0.0863752,Top 5 Unfunny,sports,similarity_values/510.svg
510,ChatGPT (gpt-4o),Just another day in the Parallel Parking World Championships.,Does this suit make me look flat?,-0.0070346966,Top 5 Funny,sports,similarity_values/510.svg
510,ChatGPT (gpt-4o),Just another day in the Parallel Parking World Championships.,Does this suit make me look flat?,-0.0070346966,Top 5 Unfunny,sports,similarity_values/510.svg
510,ChatGPT (gpt-4o),Just another day in the Parallel Parking World Championships.,"I used to lie in the gutter, but then I quit drinking.",0.02986722,Top 5 Funny,sports,similarity_values/510.svg
510,ChatGPT (gpt-4o),Just another day in the Parallel Parking World Championships.,"I used to lie in the gutter, but then I quit drinking.",0.02986722,Top 5 Unfunny,sports,similarity_values/510.svg
510,ChatGPT (gpt-4o),Just another day in the Parallel Parking World Championships.,"I'm what they mean when they say, 'The middle class is getting stepped on.'",0.0003907457,Top 5 Funny,sports,similarity_values/510.svg
510,ChatGPT (gpt-4o),Just another day in the Parallel Parking World Championships.,"If you can meditate here, you can meditate anywhere.",0.043275084,Top 5 Funny,sports,similarity_values/510.svg
510,ChatGPT (gpt-4o),Just another day in the Parallel Parking World Championships.,"If you can meditate here, you can meditate anywhere.",0.043275084,Top 5 Unfunny,sports,similarity_values/510.svg
510,ChatGPT (gpt-4o),Just another day in the Parallel Parking World Championships.,I've decided to take it lying down.,0.084789835,Top 5 Unfunny,sports,similarity_values/510.svg
510,Claude,"Having a blast, honey? Maybe we should try separate playdates next time.""

The image humorously depicts a chaotic playdate scene from an overhead perspective. Various toys and stuffed animals are strewn about as the toddlers sprawl across the floor in exaggerated, exhausted poses.",I'm a congressman--obstruction is my job.,-0.039306078,Top 5 Funny,psychology,similarity_values/510.svg
510,Claude,"Having a blast, honey? Maybe we should try separate playdates next time.""

The image humorously depicts a chaotic playdate scene from an overhead perspective. Various toys and stuffed animals are strewn about as the toddlers sprawl across the floor in exaggerated, exhausted poses.",I'm a congressman--obstruction is my job.,-0.039306078,Top 5 Unfunny,psychology,similarity_values/510.svg
510,Claude,"Having a blast, honey? Maybe we should try separate playdates next time.""

The image humorously depicts a chaotic playdate scene from an overhead perspective. Various toys and stuffed animals are strewn about as the toddlers sprawl across the floor in exaggerated, exhausted poses.",Does this suit make me look flat?,0.011825973,Top 5 Funny,psychology,similarity_values/510.svg
510,Claude,"Having a blast, honey? Maybe we should try separate playdates next time.""

The image humorously depicts a chaotic playdate scene from an overhead perspective. Various toys and stuffed animals are strewn about as the toddlers sprawl across the floor in exaggerated, exhausted poses.",Does this suit make me look flat?,0.011825973,Top 5 Unfunny,psychology,similarity_values/510.svg
510,Claude,"Having a blast, honey? Maybe we should try separate playdates next time.""

The image humorously depicts a chaotic playdate scene from an overhead perspective. Various toys and stuffed animals are strewn about as the toddlers sprawl across the floor in exaggerated, exhausted poses.","I used to lie in the gutter, but then I quit drinking.",0.01652552,Top 5 Funny,psychology,similarity_values/510.svg
510,Claude,"Having a blast, honey? Maybe we should try separate playdates next time.""

The image humorously depicts a chaotic playdate scene from an overhead perspective. Various toys and stuffed animals are strewn about as the toddlers sprawl across the floor in exaggerated, exhausted poses.","I used to lie in the gutter, but then I quit drinking.",0.01652552,Top 5 Unfunny,psychology,similarity_values/510.svg
510,Claude,"Having a blast, honey? Maybe we should try separate playdates next time.""

The image humorously depicts a chaotic playdate scene from an overhead perspective. Various toys and stuffed animals are strewn about as the toddlers sprawl across the floor in exaggerated, exhausted poses.","I'm what they mean when they say, 'The middle class is getting stepped on.'",0.12436518,Top 5 Funny,psychology,similarity_values/510.svg
510,Claude,"Having a blast, honey? Maybe we should try separate playdates next time.""

The image humorously depicts a chaotic playdate scene from an overhead perspective. Various toys and stuffed animals are strewn about as the toddlers sprawl across the floor in exaggerated, exhausted poses.","If you can meditate here, you can meditate anywhere.",-0.057659574,Top 5 Funny,psychology,similarity_values/510.svg
510,Claude,"Having a blast, honey? Maybe we should try separate playdates next time.""

The image humorously depicts a chaotic playdate scene from an overhead perspective. Various toys and stuffed animals are strewn about as the toddlers sprawl across the floor in exaggerated, exhausted poses.","If you can meditate here, you can meditate anywhere.",-0.057659574,Top 5 Unfunny,psychology,similarity_values/510.svg
510,Claude,"Having a blast, honey? Maybe we should try separate playdates next time.""

The image humorously depicts a chaotic playdate scene from an overhead perspective. Various toys and stuffed animals are strewn about as the toddlers sprawl across the floor in exaggerated, exhausted poses.",I've decided to take it lying down.,0.08183132,Top 5 Unfunny,psychology,similarity_values/510.svg
511,ChatGPT (gpt-4o),"Gary, you've got the wrong tool, but the right attitude.",I'm hourly.,0.15039065,Top 5 Funny,work,similarity_values/511.svg
511,ChatGPT (gpt-4o),"Gary, you've got the wrong tool, but the right attitude.",I'm hourly.,0.15039065,Top 5 Unfunny,work,similarity_values/511.svg
511,ChatGPT (gpt-4o),"Gary, you've got the wrong tool, but the right attitude.",And one day your son will keep you from having a heart attack.,0.07144584,Top 5 Funny,work,similarity_values/511.svg
511,ChatGPT (gpt-4o),"Gary, you've got the wrong tool, but the right attitude.",And one day your son will keep you from having a heart attack.,0.07144584,Top 5 Unfunny,work,similarity_values/511.svg
511,ChatGPT (gpt-4o),"Gary, you've got the wrong tool, but the right attitude.",I wish you had found that yesterday.,0.18049747,Top 5 Funny,work,similarity_values/511.svg
511,ChatGPT (gpt-4o),"Gary, you've got the wrong tool, but the right attitude.",I wish you had found that yesterday.,0.18049747,Top 5 Unfunny,work,similarity_values/511.svg
511,ChatGPT (gpt-4o),"Gary, you've got the wrong tool, but the right attitude.","Attention to detail is important, son.",0.12744583,Top 5 Funny,work,similarity_values/511.svg
511,ChatGPT (gpt-4o),"Gary, you've got the wrong tool, but the right attitude.","Attention to detail is important, son.",0.12744583,Top 5 Unfunny,work,similarity_values/511.svg
511,ChatGPT (gpt-4o),"Gary, you've got the wrong tool, but the right attitude.",My cardiologist sells them.,0.0009532012,Top 5 Funny,work,similarity_values/511.svg
511,ChatGPT (gpt-4o),"Gary, you've got the wrong tool, but the right attitude.",My cardiologist sells them.,0.0009532012,Top 5 Unfunny,work,similarity_values/511.svg
511,Claude,"Harold's shoveling technique left something to be desired, but you had to admire his dedication to feng shui.""

The cartoon humorously depicts an unusual snow shoveling approach, with the character clearing a winding path to his house rather than a straight, efficient one.",I'm hourly.,0.032086484,Top 5 Funny,work,similarity_values/511.svg
